study_id,participant,age_in_years,sex,species,sessions,trial,lottery,exchange,reward_obtained,visible_probability_of_gain,real_probability_of_gain,cover_position,number_large_visible_rewards,level_of_information,previous_rewards
romain2021non,pini,23,f,orangutan,2,1,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,2,2,23,yes,small,0,"0,17",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,2,3,15,yes,small,"0,25","0,5",cover_left,1,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,2,4,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,2,5,28,no,medium,0,0,no_cover,0,risk,small
romain2021non,pini,23,f,orangutan,2,6,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,2,7,16,yes,large,"0,5","0,5",no_cover,3,risk,small
romain2021non,pini,23,f,orangutan,2,8,22,yes,large,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,2,9,13,yes,large,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,2,10,27,yes,small,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,2,11,12,yes,large,"0,67","0,67",no_cover,4,risk,small
romain2021non,pini,23,f,orangutan,2,12,1,yes,large,1,1,no_cover,6,risk,large
romain2021non,pini,23,f,orangutan,2,13,5,yes,large,1,"0,83",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,2,14,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,2,15,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,none
romain2021non,pini,23,f,orangutan,2,16,2,yes,large,1,1,cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,2,17,24,yes,small,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,2,18,8,yes,large,"0,83","0,83",no_cover,5,risk,small
romain2021non,pini,23,f,orangutan,2,19,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,2,20,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,2,21,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,2,22,19,no,medium,0,"0,33",cover_left,0,ambiguous,medium
romain2021non,pini,23,f,orangutan,2,23,10,yes,small,"0,5","0,67",cover_middle,2,ambiguous,medium
romain2021non,pini,23,f,orangutan,2,24,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,2,25,4,yes,large,1,1,cover_left,4,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,2,26,9,yes,small,1,"0,67",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,2,27,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,2,28,20,yes,small,"0,33","0,33",no_cover,2,risk,medium
romain2021non,pini,23,f,orangutan,3,1,2,yes,large,1,1,cover_right,4,ambiguous,none
romain2021non,pini,23,f,orangutan,3,2,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,pini,23,f,orangutan,3,3,15,yes,small,"0,25","0,5",cover_left,1,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,3,4,5,yes,small,1,"0,83",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,3,5,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,3,6,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,3,7,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,3,8,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,3,9,23,yes,small,0,"0,17",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,3,10,27,yes,small,0,0,cover_left,0,ambiguous,small
romain2021non,pini,23,f,orangutan,3,11,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,3,12,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,pini,23,f,orangutan,3,13,20,yes,small,"0,33","0,33",no_cover,2,risk,medium
romain2021non,pini,23,f,orangutan,3,14,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,3,15,13,yes,large,"0,75","0,5",cover_right,3,predictability_disadvantageous,none
romain2021non,pini,23,f,orangutan,3,16,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,3,17,1,yes,large,1,1,no_cover,6,risk,small
romain2021non,pini,23,f,orangutan,3,18,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,3,19,4,yes,large,1,1,cover_left,4,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,3,20,19,no,medium,0,"0,33",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,3,21,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,3,22,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,3,23,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,3,24,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,3,25,16,yes,small,"0,5","0,5",no_cover,3,risk,large
romain2021non,pini,23,f,orangutan,3,26,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,3,27,24,yes,small,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,3,28,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,4,1,15,no,medium,"0,25","0,5",cover_left,1,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,4,2,19,no,medium,0,"0,33",cover_left,0,ambiguous,medium
romain2021non,pini,23,f,orangutan,4,3,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,medium
romain2021non,pini,23,f,orangutan,4,4,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,4,5,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,4,6,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,4,7,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,4,8,8,yes,small,"0,83","0,83",no_cover,5,risk,large
romain2021non,pini,23,f,orangutan,4,9,27,no,medium,0,0,cover_left,0,ambiguous,small
romain2021non,pini,23,f,orangutan,4,10,4,yes,large,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,4,11,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,4,12,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,4,13,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,4,14,24,yes,small,"0,17","0,17",no_cover,1,risk,medium
romain2021non,pini,23,f,orangutan,4,15,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,4,16,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,4,17,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,4,18,1,yes,large,1,1,no_cover,6,risk,large
romain2021non,pini,23,f,orangutan,4,19,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,4,20,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,4,21,28,no,medium,0,0,no_cover,0,risk,small
romain2021non,pini,23,f,orangutan,4,22,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,4,23,5,yes,large,1,"0,83",cover_right,4,ambiguous,medium
romain2021non,pini,23,f,orangutan,4,24,16,yes,large,"0,5","0,5",no_cover,3,risk,large
romain2021non,pini,23,f,orangutan,4,25,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,4,26,23,no,medium,0,"0,17",cover_left,0,ambiguous,medium
romain2021non,pini,23,f,orangutan,4,27,10,yes,small,"0,5","0,67",cover_middle,2,ambiguous,medium
romain2021non,pini,23,f,orangutan,4,28,20,yes,large,"0,33","0,33",no_cover,2,risk,small
romain2021non,pini,23,f,orangutan,5,1,28,no,medium,0,0,no_cover,0,risk,none
romain2021non,pini,23,f,orangutan,5,2,3,yes,large,1,1,cover_middle,4,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,5,3,1,yes,large,1,1,no_cover,6,risk,large
romain2021non,pini,23,f,orangutan,5,4,5,yes,large,1,"0,83",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,5,5,24,yes,large,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,5,6,27,no,medium,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,5,7,15,yes,small,"0,25","0,5",cover_left,1,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,5,8,19,no,medium,0,"0,33",cover_left,0,ambiguous,small
romain2021non,pini,23,f,orangutan,5,9,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,5,10,20,yes,small,"0,33","0,33",no_cover,2,risk,large
romain2021non,pini,23,f,orangutan,5,11,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,5,12,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,medium
romain2021non,pini,23,f,orangutan,5,13,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,5,14,2,yes,large,1,1,cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,5,15,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,5,16,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,5,17,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,5,18,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,5,19,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,5,20,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,5,21,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,5,22,16,yes,small,"0,5","0,5",no_cover,3,risk,large
romain2021non,pini,23,f,orangutan,5,23,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,5,24,4,yes,large,1,1,cover_left,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,5,25,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,5,26,8,yes,large,"0,83","0,83",no_cover,5,risk,medium
romain2021non,pini,23,f,orangutan,5,27,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,5,28,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,6,1,16,yes,small,"0,5","0,5",no_cover,3,risk,none
romain2021non,pini,23,f,orangutan,6,2,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,6,3,20,yes,small,"0,33","0,33",no_cover,2,risk,small
romain2021non,pini,23,f,orangutan,6,4,14,yes,large,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,6,5,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,6,6,27,no,medium,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,6,7,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,6,8,4,yes,large,1,1,cover_left,4,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,6,9,24,yes,large,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,6,10,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,6,11,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,6,12,8,yes,large,"0,83","0,83",no_cover,5,risk,medium
romain2021non,pini,23,f,orangutan,6,13,9,yes,large,1,"0,67",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,6,14,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,6,15,19,no,medium,0,"0,33",cover_left,0,ambiguous,none
romain2021non,pini,23,f,orangutan,6,16,5,yes,large,1,"0,83",cover_right,4,ambiguous,medium
romain2021non,pini,23,f,orangutan,6,17,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,6,18,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,6,19,17,yes,large,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,6,20,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,6,21,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,6,22,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,6,23,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,6,24,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,6,25,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,pini,23,f,orangutan,6,26,1,yes,large,1,1,no_cover,6,risk,medium
romain2021non,pini,23,f,orangutan,6,27,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,6,28,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,7,1,19,no,medium,0,"0,33",cover_left,0,ambiguous,none
romain2021non,pini,23,f,orangutan,7,2,1,yes,large,1,1,no_cover,6,risk,medium
romain2021non,pini,23,f,orangutan,7,3,16,yes,large,"0,5","0,5",no_cover,3,risk,large
romain2021non,pini,23,f,orangutan,7,4,27,yes,small,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,7,5,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,7,6,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,7,7,7,yes,small,"0,75","0,83",cover_left,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,7,8,28,no,medium,0,0,no_cover,0,risk,small
romain2021non,pini,23,f,orangutan,7,9,23,yes,large,0,"0,17",cover_left,0,ambiguous,medium
romain2021non,pini,23,f,orangutan,7,10,4,yes,large,1,1,cover_left,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,7,11,20,yes,small,"0,33","0,33",no_cover,2,risk,large
romain2021non,pini,23,f,orangutan,7,12,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,7,13,5,yes,large,1,"0,83",cover_right,4,ambiguous,medium
romain2021non,pini,23,f,orangutan,7,14,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,7,15,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,7,16,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,7,17,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,7,18,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,7,19,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,7,20,24,yes,small,"0,17","0,17",no_cover,1,risk,small
romain2021non,pini,23,f,orangutan,7,21,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,7,22,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,7,23,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,pini,23,f,orangutan,7,24,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,7,25,10,yes,small,"0,5","0,67",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,7,26,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,7,27,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,7,28,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,8,1,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,8,2,12,yes,small,"0,67","0,67",no_cover,4,risk,large
romain2021non,pini,23,f,orangutan,8,3,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,8,4,13,yes,large,"0,75","0,5",cover_right,3,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,8,5,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,8,6,3,yes,large,1,1,cover_middle,4,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,8,7,10,yes,small,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,8,8,15,yes,small,"0,25","0,5",cover_left,1,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,8,9,19,no,medium,0,"0,33",cover_left,0,ambiguous,small
romain2021non,pini,23,f,orangutan,8,10,4,yes,large,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,8,11,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,8,12,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,8,13,5,yes,large,1,"0,83",cover_right,4,ambiguous,medium
romain2021non,pini,23,f,orangutan,8,14,27,no,medium,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,8,15,1,yes,large,1,1,no_cover,6,risk,none
romain2021non,pini,23,f,orangutan,8,16,24,no,medium,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,8,17,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,medium
romain2021non,pini,23,f,orangutan,8,18,23,yes,large,0,"0,17",cover_left,0,ambiguous,small
romain2021non,pini,23,f,orangutan,8,19,17,yes,large,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,8,20,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,pini,23,f,orangutan,8,21,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,8,22,16,yes,small,"0,5","0,5",no_cover,3,risk,medium
romain2021non,pini,23,f,orangutan,8,23,2,yes,large,1,1,cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,8,24,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,8,25,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,8,26,8,yes,small,"0,83","0,83",no_cover,5,risk,large
romain2021non,pini,23,f,orangutan,8,27,20,yes,small,"0,33","0,33",no_cover,2,risk,small
romain2021non,pini,23,f,orangutan,8,28,9,yes,small,1,"0,67",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,9,1,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,9,2,5,yes,small,1,"0,83",cover_right,4,ambiguous,large
romain2021non,pini,23,f,orangutan,9,3,4,yes,large,1,1,cover_left,4,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,9,4,20,yes,large,"0,33","0,33",no_cover,2,risk,large
romain2021non,pini,23,f,orangutan,9,5,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,9,6,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,9,7,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,pini,23,f,orangutan,9,8,27,no,medium,0,0,cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,9,9,12,yes,large,"0,67","0,67",no_cover,4,risk,medium
romain2021non,pini,23,f,orangutan,9,10,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,9,11,16,yes,large,"0,5","0,5",no_cover,3,risk,medium
romain2021non,pini,23,f,orangutan,9,12,15,no,medium,"0,25","0,5",cover_left,1,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,9,13,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,9,14,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,9,15,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,none
romain2021non,pini,23,f,orangutan,9,16,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,medium
romain2021non,pini,23,f,orangutan,9,17,8,yes,small,"0,83","0,83",no_cover,5,risk,medium
romain2021non,pini,23,f,orangutan,9,18,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,small
romain2021non,pini,23,f,orangutan,9,19,1,yes,large,1,1,no_cover,6,risk,large
romain2021non,pini,23,f,orangutan,9,20,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,pini,23,f,orangutan,9,21,2,yes,large,1,1,cover_right,4,ambiguous,medium
romain2021non,pini,23,f,orangutan,9,22,22,yes,large,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,pini,23,f,orangutan,9,23,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,pini,23,f,orangutan,9,24,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,pini,23,f,orangutan,9,25,24,yes,small,"0,17","0,17",no_cover,1,risk,large
romain2021non,pini,23,f,orangutan,9,26,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,9,27,13,yes,large,"0,75","0,5",cover_right,3,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,9,28,19,no,medium,0,"0,33",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,10,1,4,yes,large,1,1,cover_left,4,predictability_advantageous,none
romain2021non,pini,23,f,orangutan,10,2,19,no,medium,0,"0,33",cover_left,0,ambiguous,large
romain2021non,pini,23,f,orangutan,10,3,20,yes,small,"0,33","0,33",no_cover,2,risk,medium
romain2021non,pini,23,f,orangutan,10,4,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,pini,23,f,orangutan,10,5,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,small
romain2021non,pini,23,f,orangutan,10,6,28,no,medium,0,0,no_cover,0,risk,medium
romain2021non,pini,23,f,orangutan,10,7,11,yes,small,"0,5","0,67",cover_left,2,predictability_advantageous,medium
romain2021non,pini,23,f,orangutan,10,8,16,yes,small,"0,5","0,5",no_cover,3,risk,small
romain2021non,pini,23,f,orangutan,10,9,8,yes,large,"0,83","0,83",no_cover,5,risk,small
romain2021non,pini,23,f,orangutan,10,10,22,no,medium,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
