study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,t1_planning,t1_success,order_condition,sum_planning_errors,sum_non_planning_errors,sum_nonplan_error_lev1,non_planning_errors_level1_t1
volter2014cognitive,4,5,alex,10,m,chimpanzee,opaque_cued,2,23,0,2,1,0,0,2.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,16,alex,10,m,chimpanzee,opaque_cued,2,24,1,2,1,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,20,alex,10,m,chimpanzee,opaque,3,1,2,1,0,0,0,3.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,10,alex,10,m,chimpanzee,opaque,5,2,1,1,1,1,0,3.0,2.0,2.0,0.0,0.0
volter2014cognitive,4,22,alex,10,m,chimpanzee,opaque,6,3,2,2,0,0,0,3.0,2.0,3.0,0.0,0.0
volter2014cognitive,4,7,alex,10,m,chimpanzee,opaque,5,4,0,2,1,0,0,3.0,0.0,4.0,1.0,1.0
volter2014cognitive,4,2,alex,10,m,chimpanzee,opaque,3,5,0,2,1,0,0,3.0,0.0,2.0,1.0,1.0
volter2014cognitive,4,12,alex,10,m,chimpanzee,opaque,5,6,1,1,0,0,0,3.0,4.0,0.0,0.0,0.0
volter2014cognitive,4,3,alex,10,m,chimpanzee,opaque,5,7,0,2,1,1,0,3.0,0.0,4.0,3.0,0.0
volter2014cognitive,4,23,alex,10,m,chimpanzee,opaque,11,8,2,2,0,0,0,3.0,6.0,4.0,0.0,0.0
volter2014cognitive,4,15,alex,10,m,chimpanzee,opaque,2,9,1,2,0,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,24,alex,10,m,chimpanzee,opaque,1,10,2,2,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,13,alex,10,m,chimpanzee,opaque,4,11,1,2,1,0,0,3.0,3.0,0.0,0.0,0.0
volter2014cognitive,4,18,alex,10,m,chimpanzee,opaque,1,13,2,1,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,19,alex,10,m,chimpanzee,opaque,10,14,2,1,1,1,0,3.0,4.0,5.0,0.0,0.0
volter2014cognitive,4,14,alex,10,m,chimpanzee,opaque,2,15,1,2,0,1,0,3.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,4,alex,10,m,chimpanzee,opaque,4,16,0,2,0,1,0,3.0,0.0,3.0,1.0,0.0
volter2014cognitive,4,17,alex,10,m,chimpanzee,opaque,2,17,2,1,0,1,0,3.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,8,alex,10,m,chimpanzee,opaque,2,18,0,2,0,1,0,3.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,9,alex,10,m,chimpanzee,opaque,1,19,1,1,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,6,alex,10,m,chimpanzee,opaque,7,20,0,2,0,0,0,3.0,0.0,6.0,6.0,1.0
volter2014cognitive,4,11,alex,10,m,chimpanzee,opaque,17,21,1,1,1,0,0,3.0,13.0,3.0,0.0,0.0
volter2014cognitive,4,16,alex,10,m,chimpanzee,opaque,17,22,1,2,1,0,0,3.0,15.0,1.0,0.0,0.0
volter2014cognitive,4,1,alex,10,m,chimpanzee,opaque,2,23,0,2,0,0,0,3.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,21,alex,10,m,chimpanzee,opaque,4,24,2,2,1,1,0,3.0,0.0,3.0,0.0,0.0
volter2014cognitive,4,5,alex,10,m,chimpanzee,opaque,17,25,0,2,1,0,0,3.0,0.0,16.0,13.0,1.0
volter2014cognitive,4,12,fifi,18,f,chimpanzee,opaque_cued,1,1,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,22,fifi,18,f,chimpanzee,opaque_cued,2,2,2,2,0,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,7,fifi,18,f,chimpanzee,opaque_cued,1,3,0,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,14,fifi,18,f,chimpanzee,opaque_cued,2,4,1,2,0,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,10,fifi,18,f,chimpanzee,opaque_cued,3,5,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,9,fifi,18,f,chimpanzee,opaque_cued,1,7,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,23,fifi,18,f,chimpanzee,opaque_cued,1,8,2,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,11,fifi,18,f,chimpanzee,opaque_cued,1,9,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,6,fifi,18,f,chimpanzee,opaque_cued,2,10,0,2,0,0,0,1.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,3,fifi,18,f,chimpanzee,opaque_cued,2,11,0,2,1,1,0,1.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,13,fifi,18,f,chimpanzee,opaque_cued,3,12,1,2,1,0,0,1.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,2,fifi,18,f,chimpanzee,opaque_cued,1,13,0,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,24,fifi,18,f,chimpanzee,opaque_cued,1,14,2,2,1,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,8,fifi,18,f,chimpanzee,opaque_cued,1,15,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,17,fifi,18,f,chimpanzee,opaque_cued,2,16,2,1,0,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,1,fifi,18,f,chimpanzee,opaque_cued,1,17,0,2,0,1,1,1.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,5,fifi,18,f,chimpanzee,opaque_cued,2,18,0,2,1,0,0,1.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,15,fifi,18,f,chimpanzee,opaque_cued,7,19,1,2,0,1,0,1.0,3.0,3.0,0.0,0.0
volter2014cognitive,4,19,fifi,18,f,chimpanzee,opaque_cued,4,20,2,1,1,1,0,1.0,2.0,1.0,0.0,0.0
volter2014cognitive,4,4,fifi,18,f,chimpanzee,opaque_cued,3,21,0,2,0,1,0,1.0,0.0,2.0,0.0,0.0
volter2014cognitive,4,20,fifi,18,f,chimpanzee,opaque_cued,13,22,2,1,0,1,0,1.0,6.0,6.0,0.0,0.0
volter2014cognitive,4,21,fifi,18,f,chimpanzee,opaque_cued,17,23,2,2,1,1,0,1.0,8.0,8.0,0.0,0.0
volter2014cognitive,4,16,fifi,18,f,chimpanzee,opaque_cued,2,24,1,2,1,0,0,1.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,18,fifi,18,f,chimpanzee,opaque_cued,2,25,2,1,1,1,0,1.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,14,fifi,18,f,chimpanzee,opaque,2,1,1,2,0,0,0,2.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,19,fifi,18,f,chimpanzee,opaque,2,2,2,1,1,1,0,2.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,22,fifi,18,f,chimpanzee,opaque,8,3,2,2,0,1,0,2.0,5.0,2.0,0.0,0.0
volter2014cognitive,4,13,fifi,18,f,chimpanzee,opaque,11,4,1,2,1,0,0,2.0,6.0,4.0,0.0,0.0
volter2014cognitive,4,2,fifi,18,f,chimpanzee,opaque,2,5,0,2,1,1,0,2.0,0.0,1.0,0.0,0.0
volter2014cognitive,4,7,fifi,18,f,chimpanzee,opaque,1,6,0,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,12,fifi,18,f,chimpanzee,opaque,1,7,1,1,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,18,fifi,18,f,chimpanzee,opaque,17,8,2,1,1,0,0,2.0,9.0,7.0,0.0,0.0
volter2014cognitive,4,21,fifi,18,f,chimpanzee,opaque,3,9,2,2,1,0,0,2.0,1.0,1.0,0.0,0.0
volter2014cognitive,4,10,fifi,18,f,chimpanzee,opaque,1,10,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0
