study_id,experiment,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,species_subgroup,phase,session,trial,condition,barrier_position,choice_focal_participant_number,choice_focal_participant_barrier,success,barrier_position_dummy
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,4,comp,12,1,0,1,0
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,5,comp,12,4,1,0,0
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,6,comp,12,4,1,0,0
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,7,comp,34,1,1,0,1
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,8,comp,34,1,1,0,1
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,9,comp,34,2,1,0,1
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,10,comp,34,2,1,0,1
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,11,comp,34,1,1,0,1
grueneisen2017children,1b,2015,11,4,yasa,18,f,focal_participant,fimi,7,f,stooge,bonobo,yasa_fimi,,2,1,12,comp,34,4,0,1,1
grueneisen2017children,1b,2015,9,4,alexandra,16,f,focal_participant,jahaga,22,f,stooge,chimpanzee,alexandra_jahaga,b,2,1,1,comp,34,1,1,0,1
grueneisen2017children,1b,2015,9,4,alexandra,16,f,focal_participant,jahaga,22,f,stooge,chimpanzee,alexandra_jahaga,b,2,1,2,comp,34,1,1,0,1
grueneisen2017children,1b,2015,9,4,alexandra,16,f,focal_participant,jahaga,22,f,stooge,chimpanzee,alexandra_jahaga,b,2,1,3,comp,34,1,1,0,1
