study_id,experiment,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,species_subgroup,phase,session,trial,condition,barrier_position,choice_focal_participant_number,choice_focal_participant_barrier,success,barrier_position_dummy
grueneisen2017children,1a,2015,4,3,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,1,10,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,3,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,1,11,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,3,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,1,12,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,1,coop,34,4,0,0,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,2,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,3,coop,34,3,0,0,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,4,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,5,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,6,coop,34,2,1,1,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,7,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,8,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,9,coop,12,1,0,0,0
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,10,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,11,coop,12,1,0,0,0
grueneisen2017children,1a,2015,4,3,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,1,12,coop,12,1,0,0,0
grueneisen2017children,1a,2015,4,4,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,1,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,4,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,2,coop,12,1,0,0,0
grueneisen2017children,1a,2015,4,4,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,3,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,4,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,4,coop,12,2,0,0,0
grueneisen2017children,1a,2015,4,4,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,5,coop,12,1,0,0,0
grueneisen2017children,1a,2015,4,4,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,6,coop,12,1,0,0,0
grueneisen2017children,1a,2015,4,5,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,7,coop,34,2,1,1,1
grueneisen2017children,1a,2015,4,5,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,8,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,5,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,9,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,5,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,10,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,5,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,11,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,5,kara,9,f,focal_participant,sandra,21,f,stooge,chimpanzee,kara_sandra,a,1,2,12,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,1,coop,12,2,0,0,0
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,2,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,3,coop,12,2,0,0,0
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,4,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,5,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,6,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,7,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,8,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,9,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,10,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,11,coop,34,2,1,1,1
grueneisen2017children,1a,2015,4,24,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,1,12,coop,34,2,1,1,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,1,coop,34,4,0,0,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,2,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,3,coop,34,4,0,0,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,4,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,5,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,6,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,7,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,8,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,9,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,10,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,11,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,25,lome,13,m,focal_participant,sandra,21,f,stooge,chimpanzee,lome_sandra,a,1,2,12,coop,12,4,1,1,0
grueneisen2017children,1a,2015,4,28,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,1,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,28,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,2,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,28,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,3,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,28,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,4,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,28,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,5,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,28,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,6,coop,34,1,1,1,1
grueneisen2017children,1a,2015,4,29,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,7,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,29,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,8,coop,12,3,1,1,0
grueneisen2017children,1a,2015,4,29,kofi,9,m,focal_participant,sandra,21,f,stooge,chimpanzee,kofi_sandra,a,1,2,9,coop,12,3,1,1,0
