study_id,participant,age_in_years,sex,species,weight,delay_task,inhibition_task,a_not_b_task,rotation_task,transposition_task,object_permanence_task,total_tasks,drop_out
barth2006tracking,fraukje,26.0,f,chimpanzee,8.0,100.0,75.0,100.0,50.0,100.0,85.71428571428571,83.87096774193549,
barth2006tracking,jahaga,9.0,f,chimpanzee,8.0,83.33333333333334,100.0,100.0,100.0,83.33333333333334,100.0,93.5483870967742,
barth2006tracking,gertrudia,9.0,f,chimpanzee,8.0,100.0,50.0,100.0,33.3333333333333,83.33333333333334,71.42857142857143,70.96774193548387,
barth2006tracking,fifi,9.0,f,chimpanzee,8.0,100.0,100.0,100.0,83.3333333333333,100.0,85.71428571428571,93.5483870967742,
barth2006tracking,riet,24.0,f,chimpanzee,8.0,100.0,75.0,100.0,50.0,100.0,85.71428571428571,83.87096774193549,
barth2006tracking,sandra,9.0,f,chimpanzee,8.0,83.33333333333334,25.0,100.0,66.6666666666667,83.33333333333334,85.71428571428571,74.19354838709677,
barth2006tracking,frodo,8.0,m,chimpanzee,8.0,83.33333333333334,100.0,100.0,83.3333333333333,100.0,100.0,93.5483870967742,
barth2006tracking,dorien,,f,chimpanzee,8.0,50.0,25.0,100.0,16.6666666666667,16.666666666666664,57.14285714285714,38.70967741935484,true
barth2006tracking,joey,19.0,m,bonobo,4.0,66.66666666666666,75.0,100.0,16.6666666666667,100.0,71.42857142857143,67.74193548387096,
barth2006tracking,limbuko,6.0,m,bonobo,4.0,83.33333333333334,100.0,100.0,16.6666666666667,100.0,85.71428571428571,77.41935483870968,
barth2006tracking,kuno,5.0,m,bonobo,4.0,100.0,100.0,100.0,50.0,100.0,85.71428571428571,87.09677419354838,
barth2006tracking,ulindi,8.0,f,bonobo,4.0,100.0,75.0,100.0,33.3333333333333,100.0,28.57142857142857,67.74193548387096,
barth2006tracking,n’diki,24.0,f,gorilla,4.0,83.33333333333334,100.0,100.0,66.6666666666667,66.66666666666666,57.14285714285714,74.19354838709677,
barth2006tracking,n’kwango,5.0,m,gorilla,4.0,83.33333333333334,50.0,100.0,50.0,100.0,57.14285714285714,70.96774193548387,
barth2006tracking,bebe,22.0,f,gorilla,4.0,83.33333333333334,25.0,100.0,66.6666666666667,100.0,57.14285714285714,70.96774193548387,
barth2006tracking,ruby_b'windi,4.0,f,gorilla,4.0,100.0,75.0,100.0,33.3333333333333,83.33333333333334,42.85714285714285,67.74193548387096,
barth2006tracking,bimbo,21.0,m,orangutan,6.0,83.33333333333334,50.0,100.0,50.0,66.66666666666666,57.14285714285714,64.51612903225806,
barth2006tracking,walter,13.0,m,orangutan,6.0,100.0,25.0,100.0,33.3333333333333,66.66666666666666,85.71428571428571,67.74193548387096,
barth2006tracking,dunja,31.0,f,orangutan,6.0,100.0,50.0,50.0,16.6666666666667,83.33333333333334,57.14285714285714,61.29032258064516,
barth2006tracking,toba,8.0,f,orangutan,6.0,66.66666666666666,50.0,100.0,33.3333333333333,50.0,71.42857142857143,58.06451612903226,
barth2006tracking,pini,14.0,f,orangutan,6.0,83.33333333333334,50.0,100.0,33.3333333333333,83.33333333333334,71.42857142857143,67.74193548387096,
barth2006tracking,padana,4.0,f,orangutan,6.0,66.66666666666666,50.0,100.0,50.0,100.0,85.71428571428571,74.19354838709677,
