"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word"
"year","year the data point was obtained "
"month","month the data point was obtained"
"day","day of the month the data point was obtained"
"participant","name of the participant"
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant"
"present"," another individual present in the room but not participating – can be an infant or in rare cases an adult "
"species","species of individuals participating in the study -bonobo/chimpanzee/gorilla/orangutan "
"session","set of trials - mostly occurring on the same day - usually numerical "
"trial","presentation of the experiment to the participants - usually numerical "
"condition","condition presented: social demonstration condition or object movement condition "
"formed_loop_y_n","whether the apes formed the loop yes or no"
"success_w_loop_y_n","whether the apes succeeded at getting the rewards"
"comments","author provided notes"
